translation,concept_id,external_id
نوع الدخول,2473,4dae5b12-070f-4153-b1ca-fbec906106e1
الجنس,4,ec42d68d-3e23-43de-b8c5-a03bb538e7c7
كم شخصاً  يعيش مع المريض؟,3147,58dec757-38d5-4c7b-9bd3-713d965f4883
نوع الاستشارة,1314,1a8bf24f-4f36-4971-aad9-ae77f3525738
عائلية عدد المرضى,3148,b87a93ff-a4a1-4601-b35d-1e42bfa7e194
الشخص الذي قام بالاستجابة,1293,722dd83a-c1cf-48ad-ac99-45ac131ccc96
نوع الاستجابة,1297,82978311-bef9-46f9-9a9a-cc62254b00a6
منشأة صحية,3183,0a0c70d2-2ba5-4cb3-941f-b4a9a4a7ec6d
مركز صحي تابع لمنظمة أطباء بلا حدود,3184,41e68dee-a2a3-4e6c-9d96-53def5caff52
اذا عيادات متنقلة، حدد,3185,08cd4b4a-4b0b-4391-987b-b5b3d770d30f
اذا أخرى، حدد,2563,e08d532b-e56c-43dc-b831-af705654d2dc
تمت الإحالة من قسم ,3193,c3c86c1b-07be-4506-ab25-8f35f4389b19
المشكلة الرئيسية أو سبب الإحالة,61,53b450aa-d27c-4c2f-9a4e-98513bbe645f
نفسية جسدية,824,c899d33a-adde-4c70-ad65-2326b8843e3b
1رتبطة بالاكتئاب,1298,7bb9a0b0-ca7e-4cd0-84ba-a5f18811dacd
2مرتبطة بالقلق,819,241b3278-3803-478b-8484-70e2b17e5543
3مرتبطة بالصدمة,820,3a0c003c-9149-4a5f-a236-ed5d61231950
4مرتبطة بالذهان,823,612c130a-0ae9-4565-af09-b5437334c742
5مشاكل عصبية إدراكية,825,a5b552b6-44db-42f1-a436-6f2f12de471e
6مشاكل في السلوكيات,889,5b271a75-d44b-466a-8baf-71153dc1895c
أخرى,7,790b41ce-e1e7-11e8-b02f-0242ac130002
الأعراض أو الشكاوي الحالية 1,3180,45b39cbf-0fb2-4682-8544-8aaf3e07a744
الأعراض أو الشكاوي الحالية 2,3181,ee1b7973-e931-494e-a9cb-22b814b4d8ed
الأعراض أو الشكاوي الحالية 3,3182,92a92f62-3ff6-4944-9ea9-a7af23949bad
تصنيف الاعراض والشكاوي,815,9a8204ca-d908-4157-9285-7c970dbb5287
المدة الزمنية للعرض الرئيسي,3238,3edcfddb-7988-4ce5-97a0-d4c46b267a04
تفاصيل مهمة حول المشكلة الرئيسية: منذ متى يعاني المريض من المشكلة (ما هي بعض الأحداث الرئيسية، إلخ.)؟,3241,4c9228b2-4ba2-4edb-8daf-31a824e5fa9a
مظهر المريض: كيف يبدو أو يتحدث / نشاطه الحركي / حالته المزاجية / أفكاره / تصوراته؟ هل المريض واعي زمانياً / مكانياً / لشخصه / للأحداث الجارية؟,3242,ddf9cb24-f51a-485f-b059-76f307bf468f
(يقوم بتعبئتها طبيب mhGAP سريري) التشخيص السريري,1364,22809b19-54ca-4d88-8d26-9577637c184e
اذا أخرى، حدد,2464,819f79e7-b9af-4afd-85d4-2ab677223113
"هل واجهت أي مشاكل عند اداء نشاطاتك اليومية, مثلا عند الطبخ, الاستحمام, او اداء المهام خارج المنزل؟",3250,b5c4b6d2-c880-43c5-a250-8fe09c9e394c
هل واجهت مشاكل في التوافق مع العائلة أو الأصدقاء؟,3251,b8968e50-436f-444e-8ab6-4b707fab090c
"هل واجهت أي مشاكل بالنوم, مثلا نوم بشكل كثير او عدم النوم بشكل كافي؟",3252,f44f52dd-6eda-4ca5-8375-61164bff5a32
هل شعرت بالحزن او التوتر؟,3254,79d37985-b959-49c2-a7b8-7fe1618d641b
هل كنت تعاني؟,3255,802f0ec2-169f-41b7-ae83-2e8f2fc86e3a
MHOS النقاط,829,b2c5b6e0-66f0-4b9d-8576-b6f48e0a06df
قلة الاهتمام أو الاستمتاع بممارسة الأشياء,3166,eeac083f-9acd-4c04-bafc-b4266a02a3a3
الشعور بالحزن أو ضيق الصدر أو اليأس,3167,0902dd6a-3f4e-422c-92eb-10e89cb783e2
الصعوبة في الرآون إلى النوم أو النوم بانتظام أو النوم أآثر من العادة,3154,2ad5e737-fb27-44ea-bcf9-fafcbd7640fd
الشعور بالتعب أو بقلة الحيوية.,3155,f899935f-13f0-472e-b1dd-569ead3c63f1
قلة الشهية أو آثرة الأآل.,3156,48177433-e9c0-43b7-be27-7d4992723e01
الشعور بعدم الرضا عن النفس أو بالفشل أو الإحباط تجاه ذويك.,3157,eb14c9f6-8c32-4cbb-a595-66ffd72b8cdb
الصعوبة في الترآيز على الأشياء، مثل قراءة الصحف أو مشاهدة التليفزيون.,3158,2bf607e1-85f3-4514-9e07-e3f8caabbc57
بطء في الحرآة أو الكلام بدرجة ملحوظة من الآخرين؟ أو على العكس من ذلك آثرة التململ والتحرك إلى درجة فوق العادة.,3159,50fb199e-410c-40d4-bbd9-44f641d4421d
الشعور بتفضيل الموت عن الحياة أو بإيذاء النفس بطريقة ما.,3160,5723ae77-b752-404a-a5dd-5b1d8be222c4
PHQ9 النقاط,836,5f3d618e-5c89-43bd-8c79-07e4e98c2f23
قياس درجة الشدة (CGI-S): ما مدى شدة المرض النفسي لدى المريض في هذه الفترة؟,3256,a1a75011-0fef-460a-b666-dda2d171f39b
القدرة الوظيفية: هل المريض قادر على أن يكون مستقلاً، وأن يعتني بنفسه (أن يستحم / يأكل)، وأن يذهب إلى العمل / المدرسة، إلخ.؟,3259,00617df0-f2bb-4e9c-84b8-836c9d281a20
الموارد الداخلية: هل يعتقد المريض أن لديه القدرات اللازمة لتجاوز المشكلة الحالية / هل لديه أمل في مستقبله؟,3260,021d9afe-7d46-406c-b450-c0cd1e251f79
الموارد الخارجية: هل يعتقد المريض أن لديه أحد يمكنه الاعتماد عليه، ويمكن أن يساعده في حياته؟,3261,b745fc24-46ec-433b-8df6-78bbd6733472
الموارد الروحية / المعنوية: هل معتقدات المريض مصدرُ قوة له عند التعامل مع المشاكل؟,3262,e3babf1f-95da-4e30-9593-a37beeff8ef2
هل راودت المريض أفكار عن الموت أو الانتحار؟,3263,c2664992-8a5a-4a6d-9238-5df591307d55
درجة تواتر الفكرة,3264,a590d345-65d1-4534-bfe4-375ef780e424
هل قام المريض بأذية نفسه أو تسبب بأذيتها؟,3265,d3d978ab-da68-4672-ae0c-8270fa992a08
نوع السلوك ودرجة تواتره,3266,8ab1ff08-c32d-4832-bc9d-5542be594d12
هل حاول المريض الانتحار أو قتل نفسه؟,3267,a6c5188c-29f0-4d3d-8cf5-7852998df86f
عدد المحاولات والأسلوب,3268,667ebdfe-e989-4b56-8511-bb7a3165b327
هل يمثل المريض في الوقت الحالي خطراً على نفسه، من حيث أنه قد يؤذي نفسه أو يحاول الانتحار؟,3269,abede172-ba87-4ebe-8054-3afadb181ea3
الإجراءات المتبعة للحد من الخطر,3270,58187804-7c6c-47bf-b9d4-d45effbb3665
هل يمثل المريض في الوقت الحالي خطراً على الآخرين، من حيث أنه قد يؤذيهم؟,3271,ccc4f06c-b76a-440d-9b7e-c48ba2c4a0ab
الإجراءات المتبعة للحد من الخطر,3272,517ff456-6aa7-4deb-8526-c0773423632f
هل يتعاطى المريض الكحول / العقاقير لكي يثمل بشكل منتظم أو معتاد؟,3273,d516de07-979b-411c-b7e4-bd09cf7d9d91
نوع العقار وانتظام تعاطيه,3274,7a62e58e-4f0f-4669-8d7c-51b5e21c5c4c
هل المريض يأخذ في الوقت الحالي أدوية علاج نفسي / مؤثرات عقلية؟,3275,5f5e126b-962f-4c92-96bc-cbb1f3f06ba3
قام بوصف الدواء,3276,d5d1e465-d663-44b4-b0e4-d9ce3eb1d5c2
هل المريض يأخذ في الوقت الحالي أدوية علاج نفسي / مؤثرات عقلية؟ ,3277,3e97c2d0-15c1-4cfd-884f-7a4721079217
إذا كانت الإجابة نعم، فأي نوع من,3278,d8c84af2-bd9b-4bf3-a815-81652cb0b0bc
اذا أخرى، حدد,3279,d9b92c93-5017-4229-be19-2a0ebf9e9169
إذا كانت الإجابة نعم، المدة الزمنية بين حادث العنف والاستشارة,3280,aae000c3-5242-4e3c-bd1f-7e922a6d3d34
إذا كانت الإجابة نعم، فهل يرغب المريض بأن تتم إحالته إلى القسم الطبي من أجل تلقي العلاج (أو لمراجعة قابلة / أو أخصائية أمومة في حالة العنف الجنسي)؟,3281,af302eef-4738-4337-b4b9-e154adbbab49
الإجراء المتخذ,3282,30b0ac06-848f-4a86-93d7-c91debb8f2ad
الحالات الطبية,3283,0d2523ea-f175-4f37-8ece-32c28c68367a
 العنف,3284,9b3fb5d2-e40d-434d-a755-d136cee7d5f9
الانفصال او الفقد,3285,edab07a2-b620-4e56-a079-af7fc9449039
الكوارث,3286,4267a98b-e8c1-4471-8afa-928be2599f66
أخرى,3287,af96ffd7-e0f3-487f-98a0-ef4dee327b38
 الأحداث الرئيسية الماضية / المحفزة - الأولى,3288,d5e3d927-f7ce-4fdd-ac4e-6ad0b510b608
 الأحداث الرئيسية الماضية / المحفزة - الثانية,3289,54a9b20e-bce5-4d4a-8c9c-e0248a182586
 الأحداث الرئيسية الماضية / المحفزة - الثالثة,3290,e0d4e006-85b5-41cb-8a21-e013b1978b8b
نوع الحدث المحفز الرئيسي,3291,c1a3ed2d-6d9a-453d-9d93-749164a76413
تفاصيل ذات صلة بالأحداث الماضية / المحفزة,3292,2e6ca6a9-886e-483a-911f-92f6a16b11c9
أهداف العلاج النفسي الإجمالية (ما الذي تحاول إنجازه على مدى عدة جلسات مع المريض؟ حاول أن تكون دقيقاً في طرحك، وقم بتحديد الإجابة مع المريض. قم بتعبئة الفراغات فقط إذا تغيّرت أهداف العلاج),3293,8bea5a61-73e6-40c1-af04-43dec63749a4
جلسة اليوم (ماذا فعلتم في جلسة اليوم؟),3294,c0744459-b715-4a66-8d65-4bdaef3f90b7
المقرر المنزلي (ماذا سيفعل المريض قبل الجلسة القادمة؟),3295,8e7e0064-59c3-4440-b687-a253d7880c29
جلسة المتابعة المطلوبة            ,3296,5f6e245c-83fc-421b-8d46-061ac773ae71
 تم إعادة إحالة المريض,3297,6d3876be-0a27-466d-ad58-92edcc8c31fb
نوع الإحالة,3298,8fb3bb7d-c935-4b57-8444-1b953470e109
أسباب الإحالة,62,b7fdcd18-fc30-4b5d-82b2-bb0eec31f0e4
رقم الجلسة,1299,d9454e9c-6e3c-45ab-8a9a-834a9353ae11
لم يأتي المريض,1539,54e8c1b6-6397-4822-89a4-cf81fbc68ce9
الجلسات التي تم التغيب عنها ,3371,d7410cd3-29be-4f8b-93d6-eb4de005db29
قام المريض بإعادة تحديد موعد (إذا كانت الإجابة نعم، املأ قسم المتابعة في نهاية هذا النموذج. إذا كانت الإجابة لا، (اغلاق ملف او ان المريض لم يعد يريد الخدمات)، املأ نموذج الخروج),3373,278d3d1e-c02a-4db1-8ab3-8db3b82eb9b5
سبب التغيب عن الجلسة,3372,d34d5e93-03d6-494e-8f4c-2d7221227162
تطور حالة المريض: كيف يشعر المريض منذ الجلسة الأخيرة / كيف تجري الأمور في حياته؟,3374,f186c7ec-7028-4841-b669-78ee192af4c9
قياس درجة التحسن (CGI-I): ما مدى تحسن المريض في هذه الفترة؟,831,f94de17e-9771-4711-aabb-c5bb0c022be2
تطور الأعراض (الأعراض الحالية، ظهورها، مدتها، مراحل تطورها، درجة شدتها، محفزاتها، الأعراض الأخرى ذات الصلة),3376,18de5811-2263-42b0-ac22-d19bced11a98
المقرر المنزلي / خطة العمل (هل قام المريض بإتمام المقرر المنزلي؟ هل ساعد ذلك على تحسين وضعهم الحالي؟ يرجى تحديد المقرر المنزلي من الجلسة الماضية ونتائجه),3377,d0169612-3ce9-4e38-b495-d1a4b0ccb76b
هل قام المريض بإتمام المقرر المنزلي؟,3375,24528acc-242a-4c3b-9143-76973b6f57cf
تاريخ ظهور الأعراض / تطور الأعراض (الأعراض الحالية، ظهورها، مدتها، مراحل تطورها، درجة شدتها، محفزاتها، الأعراض الأخرى ذات الصلة),3384,4ed7be54-3759-4a39-904b-ddefc9a22459
التاريخ النفسي السابق (التشخيصات السابقة، تعاطي المخدرات في الماضي، عدد النوبات، المدة، العلاج، الآثار الجانبية),3385,eed1e8e1-ba03-41d5-856f-cd069568f484
تاريخ العائلة (حالات أو اضطرابات نفسية / عصبية / طبية),3386,a072fee0-ca76-4ac6-9543-a4f3b0efc831
التاريخ الطبي / الجراحي للمريض,3396,f8883168-4a8d-432b-8812-6dcdfbf5b13a
الحساسية / مؤشرات تباين,3397,6fcf69eb-244a-4756-84b7-1da5b8fa7025
حامل/ مرضعة,3383,2be92591-da1b-4418-ba49-43b3fc0e4ce5
طفل/مراهق(اقل من 18سنة) ,3387,f6cefc80-506a-44b0-ab5f-d6f5908cf7a5
كبار السن(اكبر من 60 سنة),3388,15748787-7372-4022-b5d4-81ff8d6887ca
المريض يأخذ سابقاً أدوية نفسية/عقلية (غير موصوفة من قبل منظمة أطباء بلا حدود)؟,3389,99a8b512-17f9-4a5d-9fd4-80c27500995b
 الدواء والجرعة,3390,28007e95-79a5-4b11-bb2b-89261b5f3ea8
معلومات إضافية عن العلاج السابق (بما في ذلك الآثار الجانبية),3391,ed4b93f6-9115-4813-8784-d653af7e74ed
فحص الحالة العقلية الأساسية (المظهر، التوجه، الكلام / النشاط الحركي، المزاج / العاطفة، الأفكار / الإدراك، المعرفة),3392,cb4974ca-ddac-4662-8b0a-2861f1e50569
التحقق من الدواء وتحديثه إذا لزم الأمر,3393,24a43033-0bbc-4109-a824-73f42381cb8b
ملاحظات,3394,c13f9fb3-6890-4e13-b13c-8c09fef6ba93
تعيين تاريخ الموعد التالي في وحدة المواعيد,3395,e6532b6c-2c70-4ef0-ac4a-ee6b804760ca
الأعراض الجانبية من العلاج الحالي: ,3398,0da21d2e-e464-4871-8ff8-f950808fbd85
هل المريض يأخذ الدواء كما تم وصفه؟,3399,dbf35880-d18e-4f15-ad9c-97b5b053e14a
 التفاصيل، اذا لزم ,3400,dc072a1a-20d8-4512-9e57-3585a07cb074
تاريخ الادخال,2418,40108bf5-0bbd-42e8-8102-bcbd0550a943
تاريخ اغلاق الملف,1359,8a9d2ace-372f-4413-a1c4-8999f55e2de2
العدد الكلي للاستشارات ,3402,1bf47398-7786-4f3e-8cae-b84a21f53eba
نوع الاستجابة الرئيسي,3403,2470a73b-697f-414a-8c0f-fff66c6ec895
نوع الاستشارة الرئيسي,2890,401b2df0-e26f-4f49-9165-6e20a1b8865a
سبب اغلاق الملف ,1552,9e861ef1-e07c-4955-9650-2ebac3138fc3
تم إحالة المريض الى,2062,93eb9716-6866-4d13-9b8f-59c0a7605a11
تفاصيل عن إغلاق الملف والحالة النهائية للمريض,1986,218d09c8-76b2-4e1c-8503-0db58f62ea52
الهدف الأول ,3404,3d081f71-7b90-4fb2-a8bc-961263ab6cec
الهدف الثاني ,3405,e6461d60-052f-450a-96aa-9523e807b560
الهدف الثالث,3406,d8e794bc-efd6-447b-8079-d8f84a267e36
 تعليقات ,3407,db316f14-259b-40ab-89c5-7d3187967f82
MHOS,1321,90b3d09c-d296-44d2-8292-8e04377fe027
PHQ-9,3119,6545b874-f44d-4d18-9ab1-7a8bb21c0a15
CGI-I,1323,c64dfacd-2fb5-464d-83a9-ebb9eb8d3ab3
CGI-S,1322,77f1a782-24af-40ba-bac1-b97d9a080f40
ذكر,5,625baaf5-ba75-4c23-bdef-283fd47c34db
انثى,6,2ded9cfb-c089-4e1c-b032-7aa4a17882f7
ذكر متحول,3235,37ccc7b5-0d1d-48d3-87a6-aee614bb500f
انثى متحولة,3234,1226d253-376f-4e73-9ae2-36c7e9362e8b
غير معياري,3236,810ca6e9-cabf-4aa6-98d0-c3d31cfdb5f0
عدم الإجابة ,3237,245151ca-691e-4d5a-a792-64cb573e2b34
غير معروف,929,ccb4c50d-13e0-46a2-bd5e-51c86d042ad8
ادخال جديد ,2475,9f2fe30f-a8f0-49ba-82e4-71c232259130
اعادة ادخال,2474,e4e42ecd-196b-4aa8-a265-bfbed09d77cf
فردية,1507,96223dc7-6959-4ea5-a362-c0246d858c87
ازواج,3189,61b32a22-acef-4141-9faa-9c236cdfa978
عائلية عدد المرضى,3190,f16d5d76-155b-453d-bd60-ea8ee4d344e9
اهل واطفال,25,c39eaa06-6506-49f0-9c4f-c96fa957f9cd
الاخصائي النفسي,1406,278401ee-3d6f-4c65-9455-f1c16d0a7a98
المستشار النفسي,1568,fda1cdd0-745e-4ff7-a3d0-b8f8ddb99331
زيارة منزلية,1382,bd5bf44b-164c-415c-8bff-b1d4849928d3
زيارة مدرسية,3191,7091b6ea-7067-4ee3-9f67-8805904e2f61
عن بعد / تلفون,975,398ce872-5862-4826-bba8-826915eddf98
استشارة مع مستشار نفسي,1405,08c534b7-c901-46fb-9831-50ecfcd74d1b
علاج نفسي مع اخصائي نفسي,3192,aa9c5d82-1ebf-43c7-9218-6766c4affbc4
قسم المرضى الداخليين لدى منظمة أطباء بلا حدود,3194,d17350e6-12de-4454-b902-58c2fc1e59aa
قسم الإسعافات لدى منظمة أطباء بلا حدود,1383,c709f78b-5787-4c7e-b5bd-66aad28f7ff4
